season,match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut,runningScore,runningOver,shortText,commentary,link
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,DC,1,AR Patel,Axar Patel,36,22,33,2,3,163.63,False,False,"{'wickets': 8, 'runs': 158}",19.4,c Miller b Mohammed Shami,"On a length outside off and Axar hits it straight to David Miller at deep cover. Was in Axar's slot, but he was a touch legside and slightly off-balanced when looking to cream that away. Does not get enough connection and Miller gobbles it up.",
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,DC,1,Aman Hakim Khan,Aman Hakim Khan,8,8,10,0,1,100.00,False,False,"{'wickets': 7, 'runs': 148}",18.4,c Pandya b Rashid Khan,"<b>Nope, not happening twice, says Rashid!</b> Legbreak with a hint of over-spin on the ball. Was just on and around off. He looks for a slog sweep second time around, gets a massive top-edge as the ball goes straight up. Pandya completes a catch at extra cover.",
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,DC,1,Kuldeep Yadav,Kuldeep Yadav,1,1,7,0,0,100.00,False,True,{},,not out,,
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,DC,1,A Nortje,Anrich Nortje,4,2,1,1,0,200.00,False,True,{},,not out,,
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,GT,2,WP Saha,Wriddhiman Saha,14,7,9,2,1,200.00,False,False,"{'wickets': 1, 'runs': 22}",2.1, b Nortje,"<strong>Roaring start in IPL 2023 for Nortje!</strong> A 143 kph missile slanting in to Saha, cramps him for room and does him for pace. It is the nip-backer. Saha hops and looks to defend but gets beaten on the inside. The ball goes off his pads and disturbs the stumps. Titans lose their first.",
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,GT,2,Shubman Gill,Shubman Gill,14,13,19,3,0,107.69,False,False,"{'wickets': 2, 'runs': 36}",4.1, b Nortje,"<strong>Jaffa! Nortje is well and truly making his presence in the IPL!</strong> It is a fireball at 148.8 kph. Gill, even in the excellent form that he is in, has no answer to that. It was speared in on a length around off, jags back in a touch. Gill was on the back foot and looks to defend but is beaten by the movement and is knocked over.",
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,GT,2,B Sai Sudharsan,Sai Sudharsan,62,48,92,4,2,129.16,False,True,{},,not out,,
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,GT,2,HH Pandya,Hardik Pandya,5,4,12,1,0,125.00,True,False,"{'wickets': 3, 'runs': 54}",5.6,c &dagger;Abishek Porel b Ahmed,<strong>And Khaleel gets the big fish Pandya!</strong> This is what Capitals wanted from Khaleel and he has delivered. Lands it on a length and gets it to come back in to off. Pandya is forced to play at that and pushes at it a touch. Ends up getting a thick outside edge and Porel has his first catch in IPL cricket.,
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,GT,2,V Shankar,Vijay Shankar,29,23,40,3,0,126.08,False,False,"{'wickets': 4, 'runs': 107}",13.2,lbw b Marsh,"<strong>Hugeeee appeal, the umpire stays unmoved again!</strong> Marsh cannot believe it and asks Warmer to review it. It is the slower one bowled full on middle and leg, Vijay is done in by the lack of pace and is early into his flick and misses the ball. Is hit what seems to be adjacent.<strong> The ball tracker confirms the same - three reds! </strong> The Arun Jaitley Stadium has just found its voice back.",
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,GT,2,DA Miller,David Miller,31,16,28,2,2,193.75,False,True,{},,not out,,
2023,1359480,CSK v LSG,CSK,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,CSK,1,RD Gaikwad,Ruturaj Gaikwad,57,31,55,3,4,183.87,False,False,"{'wickets': 1, 'runs': 110}",9.1,c Wood b Ravi Bishnoi,"<b>and right away, Bishnoi finally collars one of the openers!</b> Fullish length ball flighted on fifth stump, Gaikwad goes for a slog sweep over midwicket and the turn away plus some extra bounce produces a top edge that swirls to short third man. Tremendous athletic take by the fielder leaping up to reach high above his head while backpedaling from the edge of the circle.",
2023,1359480,CSK v LSG,CSK,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,CSK,1,DP Conway,Devon Conway,47,29,62,5,2,162.06,False,False,"{'wickets': 2, 'runs': 118}",10.2,c Pandya b Wood,"<strong>Krunal and Wood team up to put a leash on Conway!</strong> Short ball on the stumps, hustled for pace trying to pull over midwicket, it hangs up in the air long enough for Krunal to charge in off the rope covering 20 yards before putting in a diving effort to latch onto this at ankle height. Superb effort!",
2023,1359480,CSK v LSG,CSK,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,CSK,1,S Dube,Shivam Dube,27,16,22,1,3,168.75,False,False,"{'wickets': 3, 'runs': 150}",13.5,c Wood b Ravi Bishnoi,"googly flighted full on leg stump giving it more air again at 93 kph, Dube goes for another booming slog and top edges this spinning away from him with the ball swirling off the bat toward short third man. Very basic catch taken by Wood this time on the ring waiting for the ball to come down at head height.",
2023,1359480,CSK v LSG,CSK,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,CSK,1,MM Ali,Moeen Ali,19,13,25,3,0,146.15,False,False,"{'wickets': 4, 'runs': 166}",15.2,st &dagger;Pooran b Ravi Bishnoi,Moeen charges a good length ball and keeps running to the dugout. Nowhere near the pitch of this googly on middle and it spins past Moeen's heave as well as off stump for a simple stumping by Pooran.,
