comment_id,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text,preText,postText
16050,1359483,KKR v RCB,KKR,RCB,KKR,1,7,5,2,"Bracewell to Rahmanullah Gurbaz, 2 runs",False,False,False,974087,Rahmanullah Gurbaz,29,26,326968,Michael Bracewell,0.5,0,3,1,723105,Rinku Singh,1,3,308251.0,David Willey,3.0,1.0,9.0,2.0,,,,,,,False,there is some turn for sure. Pushed into a hole in the leg side to come back for a second,<p>Over the wicket to Gurbaz</p>,
16060,1359483,KKR v RCB,KKR,RCB,KKR,1,7,6,1,"Bracewell to Rahmanullah Gurbaz, 1 run",False,False,False,974087,Rahmanullah Gurbaz,30,27,326968,Michael Bracewell,1.0,0,4,1,723105,Rinku Singh,1,3,308251.0,David Willey,3.0,1.0,9.0,2.0,,,,,,,False,"slightly short, slightly wide, dabbed past point for one",,
17010,1359483,KKR v RCB,KKR,RCB,KKR,1,8,1,0,"Shahbaz Ahmed to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,30,28,1159711,Shahbaz Ahmed,0.1,0,0,0,723105,Rinku Singh,1,3,326968.0,Michael Bracewell,1.0,0.0,4.0,1.0,,,,,,,False,"given first ball, and Gurbaz has reviewed immediately. Sweeping a straight ball, he is nearly done in by the turn, but he gets a big deflection off the glove onto the pads. The review brings Gurbaz back on",<p>Double spin now. Here is Shahbaz Ahmed</p>,
17020,1359483,KKR v RCB,KKR,RCB,KKR,1,8,2,1,"Shahbaz Ahmed to Rahmanullah Gurbaz, 1 run",False,False,False,974087,Rahmanullah Gurbaz,31,29,1159711,Shahbaz Ahmed,0.2,0,1,0,723105,Rinku Singh,1,3,326968.0,Michael Bracewell,1.0,0.0,4.0,1.0,,,,,,,False,"flighted outside off, pushed to long-off for one",,
17030,1359483,KKR v RCB,KKR,RCB,KKR,1,8,3,1,"Shahbaz Ahmed to Singh, 1 run",False,False,False,723105,Rinku Singh,2,4,1159711,Shahbaz Ahmed,0.3,0,2,0,974087,Rahmanullah Gurbaz,31,29,326968.0,Michael Bracewell,1.0,0.0,4.0,1.0,,,,,,,False,"on a length, on the pads, worked into the leg side for one","<p>Kumar: ""If Rana wasnt out caught, he would have been out lbw. that was a straight ball and poor shot selection""</p>",
17040,1359483,KKR v RCB,KKR,RCB,KKR,1,8,4,0,"Shahbaz Ahmed to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,31,30,1159711,Shahbaz Ahmed,0.4,0,2,0,723105,Rinku Singh,2,4,326968.0,Michael Bracewell,1.0,0.0,4.0,1.0,,,,,,,False,splice of the bat as he draws a forward-defensive,,
17050,1359483,KKR v RCB,KKR,RCB,KKR,1,8,5,4,"Shahbaz Ahmed to Rahmanullah Gurbaz, FOUR",True,False,False,974087,Rahmanullah Gurbaz,35,31,1159711,Shahbaz Ahmed,0.5,0,6,0,723105,Rinku Singh,2,4,326968.0,Michael Bracewell,1.0,0.0,4.0,1.0,,,,,,,False,that is a good sweep. Takes it from wide outside off. No chance of an lbw here. And he nails it. Between deep square and deep midwicket,,
17060,1359483,KKR v RCB,KKR,RCB,KKR,1,8,6,0,"Shahbaz Ahmed to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,35,32,1159711,Shahbaz Ahmed,1.0,0,6,0,723105,Rinku Singh,2,4,326968.0,Michael Bracewell,1.0,0.0,4.0,1.0,,,,,,,False,"full, just outside off, defended back to the bowler",,
18010,1359483,KKR v RCB,KKR,RCB,KKR,1,9,1,1,"Bracewell to Singh, 1 run",False,False,False,723105,Rinku Singh,3,5,326968,Michael Bracewell,1.1,0,5,1,974087,Rahmanullah Gurbaz,35,32,1159711.0,Shahbaz Ahmed,1.0,0.0,6.0,0.0,,,,,,,False,"on a length, outside off, crunched away to deep cover",,
18020,1359483,KKR v RCB,KKR,RCB,KKR,1,9,2,6,"Bracewell to Rahmanullah Gurbaz, SIX",True,False,False,974087,Rahmanullah Gurbaz,41,33,326968,Michael Bracewell,1.2,0,11,1,723105,Rinku Singh,3,5,1159711.0,Shahbaz Ahmed,1.0,0.0,6.0,0.0,,,,,,,False,"overpitched. And Rahman is ready for it. This is excellent batting. The pressure is on the batting side, but he has punished the first error in length. Gets under it, and sends it over wide long-on",,
18030,1359483,KKR v RCB,KKR,RCB,KKR,1,9,3,1,"Bracewell to Rahmanullah Gurbaz, 1 run",False,False,False,974087,Rahmanullah Gurbaz,42,34,326968,Michael Bracewell,1.3,0,12,1,723105,Rinku Singh,3,5,1159711.0,Shahbaz Ahmed,1.0,0.0,6.0,0.0,,,,,,,False,punches this length-ball offbreak to long-on for one,,
